case_id,variant,grid,baseline_score,candidate_score,score_delta,baseline_psi_angle_mean,baseline_psi_angle_p95,baseline_psi_angle_l2,candidate_psi_angle_mean,candidate_psi_angle_p95,candidate_psi_angle_l2,ratio_psi_angle_mean,ratio_psi_angle_p95,ratio_psi_angle_l2
1681132,psi_grid64,64,88.99933469662196,88.94894755984193,-0.05038713678003148,4.644652802641776e-06,2.0383974809614165e-05,3.3233069302827404e-06,6.723132361157951e-06,2.1210558060013238e-05,6.14025873895998e-06,1.447499446532146,1.0405506412816607,1.8476351621358003
1681431,psi_grid64,64,70.73500482518625,70.71013709867009,-0.024867726516163202,1.532306953178805e-05,6.66608030789139e-05,1.0249005211966553e-05,1.64474484621131e-05,6.753449471980608e-05,1.1704381127562852e-05,1.0733781784382366,1.0131065273824842,1.1420016758208913
1681811,psi_grid64,64,78.66369171307673,78.68573324623401,0.02204153315727808,0.0001367817775033249,0.0005858420075882817,7.136909308451013e-05,0.00013709305362389284,0.0005781339362228768,7.164318389020842e-05,1.0022757133753462,0.9868427472500025,1.0038404692262761
1734167,psi_grid64,64,88.29990129309898,88.31208505922642,0.012183766127435547,4.639433034541488e-05,0.00015046728245235073,3.9168766197527227e-05,4.657149272475226e-05,0.0001504382703159809,3.9166399187891155e-05,1.0038186213276141,0.9998071864135711,0.9999395689508285
1738437,psi_grid64,64,89.78092604355008,89.7734298028788,-0.007496240671287069,2.3802724822757018e-05,7.166193684930426e-05,2.5012488306706482e-05,2.3955968419921393e-05,7.100752964965728e-05,2.5175119233593165e-05,1.0064380695195814,0.9908681340692325,1.006501989122093
1747896,psi_grid64,64,93.30668808213852,93.25120147495292,-0.05548660718559972,8.10313973903179e-06,2.5957837239450158e-05,8.041741703209779e-06,8.864812507368332e-06,2.6997100196054794e-05,8.819991965933045e-06,1.093997239695579,1.0400365772779092,1.0967763317258294
1748858,psi_grid64,64,83.39247053153026,83.37485711515946,-0.017613416370807045,9.991386303388598e-06,2.8821228668462418e-05,1.1016927714950655e-05,1.0423800436326726e-05,2.9855518542298253e-05,1.1863951149281969e-05,1.0432786922462876,1.035886390748067,1.0768838151839601
1777210,psi_grid64,64,92.94877329279123,92.9279079641667,-0.020865328624523727,1.5852586309032798e-05,5.1186561411945376e-05,1.6246846981654188e-05,1.6075491005411806e-05,5.1863243177348424e-05,1.6382896053857205e-05,1.0140610933783087,1.0132199105924926,1.0083738753960472
1779987,psi_grid64,64,75.49291110587484,75.45088769921033,-0.04202340666451221,1.3048768264598804e-05,4.465264772380426e-05,7.897829058606637e-06,1.3852626128445028e-05,4.6759737406262846e-05,9.546629482343988e-06,1.061604118300352,1.0471884600324675,1.2087662839373023
1781239,psi_grid64,64,88.02378360455809,88.01902005552283,-0.004763549035260439,1.4133376277123236e-05,4.1328498576614125e-05,1.2187996219365392e-05,1.438405429450554e-05,4.198683925706851e-05,1.2646259665412669e-05,1.0177365982810533,1.0159294603754832,1.037599572382468
1784946,psi_grid64,64,83.33299990665874,83.27982604696813,-0.05317385969061661,6.878699763898807e-06,2.1950503886246542e-05,5.298574137503951e-06,7.514190882053348e-06,2.3437124577128862e-05,6.437431494598282e-06,1.0923853547860547,1.0677260393923707,1.2149365711490872
1785460,psi_grid64,64,76.63887521477197,76.65501771001796,0.016142495245986765,2.175551436636848e-05,7.611120574425834e-05,1.826446417060575e-05,2.1896363288867266e-05,7.760211835388853e-05,1.856721122101625e-05,1.0064741711056266,1.0195886084716594,1.0165757422491337
1813769,psi_grid64,64,93.07633177679737,93.05288681779055,-0.02344495900682375,1.4450802173630773e-05,4.9946015148692094e-05,1.479571118568369e-05,1.4661503986885927e-05,5.0068863807623455e-05,1.5004778626782003e-05,1.014580630938235,1.0024596288325631,1.0141302731902881
1815557,psi_grid64,64,73.73802597845082,73.6909418749937,-0.04708410345712366,1.163548473457641e-05,3.908707123564622e-05,8.017461224856826e-06,1.2116533948955362e-05,4.053024970714952e-05,8.74129535960587e-06,1.04134328954508,1.0369221439693637,1.0902822120928897
1820578,psi_grid64,64,76.42326453416693,76.37632401513116,-0.0469405190357719,4.1561149334424804e-06,1.8702684939028622e-05,3.610413509949338e-06,4.927110888895838e-06,1.8548719140980478e-05,4.536156383413419e-06,1.1855088147946733,0.991767716851881,1.2564090985459089
1849717,psi_grid64,64,86.5969320606734,86.59968778452406,0.002755723850668801,5.368188428426534e-05,0.00016087371528339042,4.127115903809741e-05,5.383785614881756e-05,0.00016124595526812997,4.125047995322703e-05,1.0029054841615894,1.0023138645370613,0.9994989458655307
1852892,psi_grid64,64,82.98130813438507,82.97212637702991,-0.009181757355165132,2.0595316105033376e-05,7.232601937387601e-05,1.3619310334724005e-05,2.1197686821651514e-05,7.347921684344978e-05,1.4029406439639495e-05,1.0292479471325484,1.0159444343758575,1.0301113709017924
