case_id,helicity,nfp,status,score,wall_s,metadata_qs_error,metadata_mean_iota,surface_level,inverse_aspect_ratio,iota,qs_global_error,qs_edge_error,flux_attempt_count
494613,0,2,no_axis,10.933502385466525,3.0076749473810196,4.074247610189019e-05,0.9,nan,nan,nan,nan,nan,0
498043,0,2,drift_rejected,44.09440980869735,1.8120119720697403,9.435887732575392e-07,0.9,nan,nan,nan,nan,nan,0
500983,0,2,drift_rejected,42.175810021842864,1.8542197737842798,1.411357546282377e-07,0.9,nan,nan,nan,nan,nan,0
503790,0,2,flux_rejected,46.526278566984146,1.93463028781116,3.2283053773818714e-08,0.9,0.02,0.011751770098883509,nan,nan,nan,1
504231,0,2,ok,58.62129770209119,2.097136575728655,8.238375911484883e-08,0.9,0.002,0.005385930091320024,0.567774772644043,0.0075878223563218055,0.008683324880144724,2
504385,0,2,flux_rejected,46.60300070503909,1.912781748920679,3.554755025196124e-07,0.9,0.008,0.008265846872941567,nan,nan,nan,1
540848,0,2,flux_rejected,45.866010628963295,1.9103268329054117,8.49735701137492e-08,0.9,0.008,0.008062058155299935,nan,nan,nan,1
597695,0,2,ok,65.42931815050109,1.9989176001399755,1.1301772583174589e-05,0.3,0.08,0.017403447741085588,0.2610158324241638,0.09195575994674583,0.09197059925232347,2
604654,0,2,ok,75.77913681527217,2.349861243739724,4.505370216489363e-07,0.1,0.49,0.033444261874099136,0.11375167220830917,0.019516995639437318,0.02277198902576241,1
606666,0,2,ok,70.18453710311965,2.319832554087043,0.00016358549680796965,0.3,0.25,0.030774521685495264,0.2859671115875244,0.12491164414569095,0.12917589381703104,1
607902,0,2,ok,69.70433683940357,2.3246042616665363,3.3473365438289886e-07,0.4,0.08,0.018421310994142834,0.3571791648864746,0.017948782666646464,0.021771779301315925,3
607905,0,2,ok,65.40721409480753,2.3526495695114136,6.167523219120144e-05,0.4,0.08,0.019142813079996032,0.35838431119918823,0.12043571024572175,0.12112944683603077,3
614432,0,2,ok,77.0550419686177,2.8762147128582,4.0434066851761997e-10,0.1,0.36,0.03244565689033877,0.09606795012950897,0.008333814130305517,0.01082021114552003,1
614467,0,2,ok,78.32716899232271,2.840144459158182,5.279348282931182e-10,0.1,0.49,0.03685618298858233,0.09601031243801117,0.00951014638730026,0.012630044189285292,1
615104,0,2,ok,74.12577886168538,2.9431055057793856,2.881551072806153e-07,0.2,0.36,0.028781645229519603,0.18849124014377594,0.019097018288776593,0.024276172601216246,1
615622,0,2,ok,73.36158379741752,2.9226981177926064,7.222658104798111e-08,0.2,0.16,0.025787600992136762,0.19032630324363708,0.010166065090796435,0.013315855226975043,1
615696,0,2,ok,70.9318526948211,2.844965059310198,7.997048230564916e-08,0.2,0.04,0.017423931037545668,0.1939373016357422,0.004541193389902768,0.005691995355285136,2
616165,0,2,ok,71.06553702630225,2.827240753918886,4.450592538142033e-06,0.3,0.16,0.024613482445636534,0.28807103633880615,0.03542094161699433,0.03871687308517063,1
616745,0,2,ok,71.65305258574017,2.926616884768009,5.061065866573309e-09,0.3,0.08,0.01996147139578017,0.28186488151550293,0.01007934011478313,0.013520285531760495,4
617551,0,2,ok,67.67130126645606,2.94851010479033,1.5803696121448136e-07,0.4,0.08,0.01964120824555233,0.36334797739982605,0.04293365296661599,0.056620274739491244,3
619904,0,2,ok,64.44302100299095,2.7599067352712154,5.263960680525202e-07,0.6,0.04,0.014900081017099786,0.4943445026874542,0.020689456301931534,0.024135323972722604,1
620655,0,2,no_surface,28.657849774298533,2.1852654721587896,2.2784799261052735e-09,0.7,nan,nan,nan,nan,nan,0
621119,0,2,ok,64.54729977786292,2.6062358133494854,4.361879662598582e-07,0.7,0.04,0.015135516351700075,0.5338158011436462,0.021628154001083807,0.025695163773217053,1
623954,0,2,no_surface,29.549653866380687,2.523345023393631,7.446576631496463e-10,0.1,nan,nan,nan,nan,nan,0
626040,0,2,ok,69.39291392318046,3.291030017659068,4.790342454485479e-09,0.4,0.08,0.01955297861262959,0.3596060574054718,0.02002161758376214,0.02689525433446069,3
626084,0,2,ok,67.59399991489038,3.3730877842754126,6.306753960982408e-08,0.4,0.08,0.020601596105998626,0.36016884446144104,0.025683924281550734,0.033267995469836394,1
629657,0,2,no_surface,36.573550973643655,2.5307899471372366,3.713439107161438e-09,0.9,nan,nan,nan,nan,nan,0
632100,0,2,ok,60.87327923726459,3.087803700938821,2.425124966587849e-09,0.6,0.02,0.011568173841613067,0.44913268089294434,0.015827254338282033,0.01763978946107104,1
633857,0,2,ok,73.79181719894572,4.275388160720468,2.1888752779006746e-10,0.3,0.25,0.028302623765026142,0.2775605320930481,0.019910599519795295,0.026832684785268367,2
634221,0,2,ok,68.47532019189217,4.200185602530837,1.7863823205544378e-09,0.5,0.16,0.022557296246381055,0.438259094953537,0.05361940260410253,0.07238567863816793,1
636284,0,3,ok,67.36383870245416,2.1668742150068283,0.002395401557847746,0.2,0.25,0.0340539916312445,0.28652679920196533,0.3030268061866886,0.3125278414936372,1
