case_id,worker_index,nfp,n_base_coils,status,score,iota_min,iota_max,score_wall_s
176,2,8,3,no_axis,0.11519278633240647,nan,nan,3.603265143930912
177,3,8,3,no_axis,0.11883508478019199,nan,nan,3.6277460157871246
178,4,8,3,no_surface,0.2529444160326037,nan,nan,4.024425584357232
179,5,8,3,no_axis,0.11368145713629883,nan,nan,3.660295063164085
180,0,8,3,ok,6.030042887273425,1.6519320011138916,2.236939315887798,4.135164052248001
181,1,8,3,no_axis,0.11812296515202432,nan,nan,3.625059090554714
182,2,8,3,ok,6.400935179397387,1.4763376712799072,1.6003784141154864,4.050745692104101
183,3,8,3,no_axis,0.11933581645037508,nan,nan,3.6285355649888515
184,4,8,3,no_axis,0.11705554822628716,nan,nan,3.6327420282177627
185,5,8,3,flux_rejected,0.2524359715400275,nan,nan,4.0846973718144
186,0,8,3,no_surface,0.2639704654579666,nan,nan,4.057530302554369
187,1,8,3,ok,10.414368312473103,1.5177143812179565,1.8541182047894311,4.143342345952988
188,2,8,3,ok,11.770649945289325,1.6603528261184692,1.9672283937028183,4.126941971480846
189,3,8,3,no_axis,0.11140211570116437,nan,nan,3.6489491746760905
190,4,8,3,no_axis,0.11585017516750284,nan,nan,3.6320395870134234
191,5,8,3,no_surface,0.24765056431150048,nan,nan,4.036068174988031
192,0,8,3,ok,46.60895955143046,1.6583159195831008,1.744606852531433,4.208958875387907
193,1,8,3,no_surface,0.2657705100773486,nan,nan,3.998440895229578
194,2,8,3,ok,4.183114248094689,1.4752484742540986,1.664641261100769,4.050712835043669
195,3,8,3,ok,35.53364089691021,1.7569278180599213,1.8216596080897896,4.2505743890069425
196,4,8,3,ok,5.875371428854893,2.0136768959539286,2.0210883714618975,4.082394080702215
197,5,8,3,ok,30.717449172493037,1.5132550597190857,1.6826871032079846,4.1864904668182135
198,0,8,3,no_axis,0.11885828336847115,nan,nan,3.680356852710247
199,1,8,3,ok,5.470261370016164,1.8206255973307832,1.9298456907272339,4.075024146586657
200,2,8,3,no_surface,0.2547281351397081,nan,nan,3.9751430973410606
201,3,8,3,no_axis,0.11360343270024889,nan,nan,3.648309919051826
202,4,8,3,ok,25.156414933387744,1.7071951031684875,1.8861019434392723,4.082110185176134
203,5,8,3,no_surface,0.251164084478044,nan,nan,4.0361992116086185
204,0,8,3,no_axis,0.11569900237067199,nan,nan,3.679120533168316
205,1,8,3,no_surface,0.2451251942494678,nan,nan,3.999808143824339
206,2,8,3,no_axis,0.11913508931600457,nan,nan,3.603466171771288
207,3,8,3,no_axis,0.11127013476920072,nan,nan,3.6276188669726253
208,4,8,3,no_axis,0.11364560487704861,nan,nan,3.632493366021663
209,5,8,3,no_surface,0.2468656358156638,nan,nan,4.039583316072822
210,0,8,3,no_axis,0.11269495928586554,nan,nan,3.6790411919355392
211,1,8,3,no_axis,0.11458781007806439,nan,nan,3.626485340297222
212,2,8,3,no_axis,0.11232005482187793,nan,nan,3.6032102443277836
213,3,8,3,ok,3.9860941350523267,1.773613585739397,1.8750255107879639,4.073712437879294
214,4,8,3,no_surface,0.28056573643142435,nan,nan,4.008093260694295
215,5,8,3,ok,8.48727215419706,2.389159480358073,2.6289186477661133,4.17926644301042
216,0,8,3,ok,11.25182207381996,1.9672894477844238,2.2515609722130203,4.207098305225372
217,1,8,3,no_axis,0.12202723887425251,nan,nan,3.6289277598261833
218,2,8,3,no_axis,0.11765019581955914,nan,nan,3.6032357290387154
219,3,8,3,no_surface,0.25412241370886784,nan,nan,4.0008448753505945
220,4,8,3,no_axis,0.11660766255073543,nan,nan,3.6328910142183304
221,5,8,3,no_axis,0.10965984048122362,nan,nan,3.6628241292200983
222,0,8,3,no_axis,0.11849145815278833,nan,nan,3.678965587168932
223,1,8,3,ok,17.566466155944536,1.701085267112603,1.8810406923294067,4.073605880141258
224,2,8,3,ok,5.173981972216725,1.9148323210235123,2.0430012941360474,4.0507605746388435
225,3,8,3,ok,5.85731269788418,1.3599578142166138,1.7692142488158713,4.076823838055134
226,4,8,3,no_surface,0.24907839195031906,nan,nan,4.007470143958926
227,5,8,3,no_surface,0.24364537240587653,nan,nan,4.040072307921946
228,0,8,3,no_surface,0.26816247655841713,nan,nan,4.054781749844551
229,1,8,3,ok,4.378304041559118,2.2837777137756348,2.456705356289873,4.073696173727512
230,2,8,3,no_surface,0.2975252781428946,nan,nan,3.9783369824290276
231,3,8,3,no_axis,0.11421412826038556,nan,nan,3.627352372277528
