best_global_score,best_global_status,best_iteration,best_online_score,final_online_score,initial_online_score,n_base_coils,nfp,optimization_wall_s,screening_wall_s,selected_global_score,trajectory_id,trajectory_wall_s
92.07614523226567,ok,196,92.08231211710039,92.06039163567687,77.91173778980986,3,5,1147.8104255660437,137.06531031103805,77.90785847622386,p107_37034_1_000039,1284.8769899399485
92.8268207055159,ok,198,92.85041588357623,92.830200677759,86.67647129044207,2,4,887.2329176981002,96.45596407493576,86.6266247145867,p107_37034_1_000040,983.6901023739483
90.75068661364865,ok,192,90.76116046925566,90.29776416176838,77.19335735599383,3,3,979.94244732894,110.39567900099792,77.20511672596336,p107_37034_1_000041,1090.3397631219123
85.33201631855486,ok,114,85.33393769342254,84.30945493884272,66.30021214628847,4,6,1639.6174768840428,196.80964729608968,66.33246390247439,p107_37034_1_000042,1836.4378668209538
87.30312954782212,ok,44,87.3638722571033,79.38087084554674,74.03115226680798,2,5,898.0563779231161,110.36042581591755,73.9415743102036,p107_37034_1_000043,1008.4185717380606
83.20778832867184,ok,61,83.22154797829853,72.27890576780965,76.13110573409024,5,3,1941.973639901029,134.45941904513165,76.04544159003973,p107_37034_1_000044,2076.43430589512
90.77386368383117,ok,189,90.75620540916188,90.5409627198254,73.88964453780306,2,5,987.8137598731555,109.18963772803545,73.89842089650777,p107_37034_1_000045,1097.0045636650175
91.01603451020576,ok,200,91.01023728812127,91.01023728812127,73.32530821082037,2,4,940.518780581886,85.38865023292601,73.4139128049023,p107_37034_1_000046,1025.908607318066
90.25567556360485,ok,192,90.27866595160776,90.14994650191439,77.65555099691976,4,3,1120.5735539400484,143.39075598912314,77.67185709999109,p107_37034_1_000047,1263.9655549498275
86.00058694987995,ok,80,86.01742367057948,80.68435893303179,72.20158516188805,3,7,1462.1992301850114,166.7228271921631,72.18763872660006,p107_37034_2_000001,1628.9228822051082
81.58661811270348,ok,139,81.58988995060251,76.431647172863,77.5200387225703,4,3,1101.7439260911196,104.4252553768456,77.59558733020985,p107_37034_2_000002,1206.1699449629523
92.61606262086703,ok,196,92.65146581167839,92.62247138630379,78.34563579492145,3,4,1053.469032720197,97.3249551388435,78.20287864190111,p107_37034_2_000003,1150.7947088738438
85.1173327553431,ok,54,85.13516174988533,82.81781016242826,73.73498984412242,2,5,969.3262633520644,79.76956394291483,73.76313836125095,p107_37034_2_000004,1049.0965601508506
40.924896582316464,ok,9,40.93893416492061,29.326594097617388,19.03086186758823,3,2,1902.0042837869842,83.84080183203332,19.002616032690664,p107_37034_2_000005,1985.8457909170538
91.60807298269336,ok,198,91.61951014928007,91.61841532868027,77.70156603293685,2,5,985.5323329449166,84.31007055495866,77.68544815011401,p107_37034_2_000006,1069.8431365319993
92.66892777019308,ok,200,92.66402611895586,92.66402611895586,78.58123039887627,2,4,924.9175114990212,79.54564458900131,78.56013748512149,p107_37034_2_000007,1004.4638347569853
92.78290560424234,ok,196,92.7740258061347,92.33882025035771,74.80784619967146,3,4,1103.8915436910465,108.97411857102998,74.82468627408683,p107_37034_2_000008,1212.866841803072
92.8864410477549,ok,197,92.90393803047179,92.88246099999786,84.87955694148602,4,4,1247.5491548818536,126.40651731402613,84.87460251339957,p107_37034_2_000009,1373.9568518698215
41.95535793911297,ok,7,41.92417871993873,27.520678683324274,12.69300595895864,2,2,1956.8254037320148,91.18596136011183,12.68930601875825,p107_37034_2_000010,2048.0125399690587
92.42652909734637,ok,198,92.41836188910524,92.34860308563711,86.49519461337815,2,4,957.6389452009462,102.04986653919332,86.50353819745231,p107_37034_2_000011,1059.6900189828593
92.54480879911638,ok,187,92.55150240774073,92.49292441666589,70.68600352106212,3,4,1110.0105029689148,96.76509515498765,70.63219603780273,p107_37034_2_000012,1206.776767655043
90.71369866554926,ok,200,90.73204396218699,90.73204396218699,63.65102508461562,2,3,881.1633892641403,89.7626342298463,63.681452211563304,p107_37034_2_000013,970.9282321580686
91.8932448335319,ok,188,91.9156301134674,91.78320079093463,79.95932455169327,3,5,1193.2518139539752,145.9686570770573,79.93581244192063,p107_37034_2_000014,1339.2216753121465
90.52964483853279,ok,199,90.52888317855121,90.5282831637803,78.28354661633551,2,5,1009.4880753869656,99.26173625909723,78.27601644465177,p107_37034_2_000015,1108.7514417811763
93.40229867298636,ok,200,93.41260360637573,93.41260360637573,76.5079642591277,4,5,1443.6777407769114,158.99607109185308,76.5274401692913,p107_37034_2_000016,1602.675877703121
91.40233674696002,ok,184,91.43676804331479,91.38771986080917,77.61244392296865,3,4,1131.1464495179243,92.4603436300531,77.64248779534101,p107_37034_2_000017,1223.6080008139834
31.20327406111776,ok,1,31.20816012148602,28.774100737710494,29.308964468246437,5,2,2548.858465243131,142.53582516498864,29.322632886066227,p107_37034_2_000018,2691.395548742963
92.91116007923037,ok,175,92.92205909133042,92.79355218522636,82.37206077710883,3,4,1065.0046017759014,91.26048735203221,82.3500049392495,p107_37034_2_000019,1156.2663177088834
92.669848404497,ok,197,92.6704809522436,92.61495119765532,76.67906879408685,5,4,1458.515543176094,142.1455076728016,76.64310318905054,p107_37034_2_000020,1600.662723826943
93.01639607056019,ok,166,93.02469593321563,92.8605561445154,79.79630870919985,2,4,924.7669342928566,102.86248209699988,79.84717699965708,p107_37034_2_000021,1027.6308453348465
